# strain(%), strain_el(%), stress(GPa)
0.00000000 -0.00013066 0.00000001
0.00040000 0.00041218 0.00042089
0.00080000 0.00081320 0.00073182
0.00120000 0.00073968 0.00067482
0.00160000 0.00085832 0.00076680
0.00200000 0.00144074 0.00121837
0.00240000 0.00223782 0.00183638
0.00280000 0.00273387 0.00222099
0.00320000 0.00307467 0.00248522
0.00360000 0.00343385 0.00276371
0.00400000 0.00404272 0.00323579
0.00440000 0.00483567 0.00385059
0.00480000 0.00569457 0.00451653
0.00520000 0.00618070 0.00489344
0.00560000 0.00674172 0.00532842
0.00600000 0.00709919 0.00560558
0.00640000 0.00692773 0.00547264
0.00680000 0.00702659 0.00554929
0.00720000 0.00695487 0.00549368
0.00760000 0.00746129 0.00588633
0.00800000 0.00796747 0.00627879
0.00840000 0.00845981 0.00666052
0.00880000 0.00836301 0.00658547
0.00920000 0.00858165 0.00675498
0.00960000 0.00923937 0.00726494
0.01000000 0.00983672 0.00772809
0.01040000 0.01028149 0.00807294
0.01080000 0.01076264 0.00844599
0.01120000 0.01101322 0.00864027
0.01160000 0.01117958 0.00876926
0.01200000 0.01156393 0.00906726
0.01240000 0.01172413 0.00919147
0.01280000 0.01268975 0.00994015
0.01320000 0.01322285 0.01035347
0.01360000 0.01340799 0.01049702
0.01400000 0.01360699 0.01065131
0.01440000 0.01379685 0.01079852
0.01480000 0.01437249 0.01124484
0.01520000 0.01484180 0.01160871
0.01560000 0.01552022 0.01213471
0.01600000 0.01588231 0.01241545
0.01640000 0.01626963 0.01271576
0.01680000 0.01648163 0.01288013
0.01720000 0.01672682 0.01307023
0.01760000 0.01692284 0.01322221
0.01800000 0.01765104 0.01378681
0.01840000 0.01818289 0.01419918
0.01880000 0.01863033 0.01454609
0.01920000 0.01907045 0.01488734
0.01960000 0.01949070 0.01521317
0.02000000 0.01976091 0.01542268
0.02040000 0.01996192 0.01557852
0.02080000 0.02017606 0.01574456
0.02120000 0.02084435 0.01626271
0.02160000 0.02132073 0.01663206
0.02200000 0.02185482 0.01704616
0.02240000 0.02222743 0.01733506
0.02280000 0.02244077 0.01750047
0.02320000 0.02291181 0.01786568
0.02360000 0.02320537 0.01809329
0.02400000 0.02346779 0.01829675
0.02440000 0.02419508 0.01886065
0.02480000 0.02475198 0.01929244
0.02520000 0.02522222 0.01965703
0.02560000 0.02532986 0.01974049
0.02600000 0.02563783 0.01997927
0.02640000 0.02589510 0.02017874
0.02680000 0.02639494 0.02056628
0.02720000 0.02697940 0.02101944
0.02760000 0.02748986 0.02141522
0.02800000 0.02783384 0.02168192
0.02840000 0.02803772 0.02183999
0.02880000 0.02874798 0.02239068
0.02920000 0.02910155 0.02266482
0.02960000 0.03003617 0.02338946
0.03000000 0.03069752 0.02390223
0.03040000 0.03151921 0.02453931
0.03080000 0.03171180 0.02468864
0.03120000 0.03195180 0.02487472
0.03160000 0.03212454 0.02500865
0.03200000 0.03216338 0.02503877
0.03240000 0.03240888 0.02522911
0.03280000 0.03274451 0.02548933
0.03320000 0.03315548 0.02580797
0.03360000 0.03340322 0.02600006
0.03400000 0.03353758 0.02610423
0.03440000 0.03398419 0.02645051
0.03480000 0.03443575 0.02680062
0.03520000 0.03488064 0.02714556
0.03560000 0.03563732 0.02773224
0.03600000 0.03681162 0.02864272
0.03640000 0.03702756 0.02881014
0.03680000 0.03724820 0.02898121
0.03720000 0.03752365 0.02919478
0.03760000 0.03796261 0.02953512
0.03800000 0.03830469 0.02980035
0.03840000 0.03828558 0.02978553
0.03880000 0.03861751 0.03004289
0.03920000 0.03887864 0.03024535
0.03960000 0.03907480 0.03039744
0.04000000 0.03957936 0.03078864
0.04040000 0.04013951 0.03122295
0.04080000 0.04066826 0.03163291
0.04120000 0.04105365 0.03193172
0.04160000 0.04148236 0.03226411
0.04200000 0.04179516 0.03250663
0.04240000 0.04186566 0.03256130
0.04280000 0.04237206 0.03295393
0.04320000 0.04304893 0.03347873
0.04360000 0.04338786 0.03374151
0.04400000 0.04395349 0.03418007
0.04440000 0.04419674 0.03436867
0.04480000 0.04461628 0.03469395
0.04520000 0.04486958 0.03489035
0.04560000 0.04521319 0.03515676
0.04600000 0.04572033 0.03554996
0.04640000 0.04655172 0.03619457
0.04680000 0.04670181 0.03631094
0.04720000 0.04707258 0.03659841
0.04760000 0.04735495 0.03681735
0.04800000 0.04759032 0.03699984
0.04840000 0.04805252 0.03735820
0.04880000 0.04852161 0.03772190
0.04920000 0.04890673 0.03802049
0.04960000 0.04948246 0.03846688
0.05000000 0.04944339 0.03843659
0.05040000 0.05006428 0.03891799
0.05080000 0.05042028 0.03919401
0.05120000 0.05099291 0.03963799
0.05160000 0.05142339 0.03997175
0.05200000 0.05187188 0.04031948
0.05240000 0.05211417 0.04050734
0.05280000 0.05240194 0.04073046
0.05320000 0.05287452 0.04109687
0.05360000 0.05339758 0.04150242
0.05400000 0.05381475 0.04182586
0.05440000 0.05396793 0.04194463
0.05480000 0.05457198 0.04241297
0.05520000 0.05499610 0.04274181
0.05560000 0.05526840 0.04295293
0.05600000 0.05550543 0.04313671
0.05640000 0.05611189 0.04360692
0.05680000 0.05663808 0.04401490
0.05720000 0.05691324 0.04422824
0.05760000 0.05742883 0.04462799
0.05800000 0.05783436 0.04494242
0.05840000 0.05816299 0.04519721
0.05880000 0.05852257 0.04547601
0.05920000 0.05897009 0.04582299
0.05960000 0.05936665 0.04613046
0.06000000 0.05983235 0.04649153
0.06040000 0.06014181 0.04673147
0.06080000 0.06056080 0.04705633
0.06120000 0.06094932 0.04735756
0.06160000 0.06137777 0.04768975
0.06200000 0.06162257 0.04787956
0.06240000 0.06213825 0.04827938
0.06280000 0.06268146 0.04870055
0.06320000 0.06295978 0.04891634
0.06360000 0.06334640 0.04921610
0.06400000 0.06375041 0.04952935
0.06440000 0.06408932 0.04979212
0.06480000 0.06455980 0.05015689
0.06520000 0.06494921 0.05045882
0.06560000 0.06542308 0.05082622
0.06600000 0.06582266 0.05113604
0.06640000 0.06599919 0.05127290
0.06680000 0.06633636 0.05153433
0.06720000 0.06698401 0.05203648
0.06760000 0.06746184 0.05240696
0.06800000 0.06779865 0.05266810
0.06840000 0.06816655 0.05295334
0.06880000 0.06860959 0.05329685
0.06920000 0.06869621 0.05336401
